pickup_zone,avg_total_amount,bkt_tip_amount,val_start,val_end
235,126.64999999999999,97,33.6839516066567458,36.30749749950887720
75,126.60999999999999,126,109.7667824993685564,112.39032839222068780
227,126.49,95,28.4368598209524830,31.06040571380461440
161,126.39,92,20.5662221423960888,23.18976803524822020
164,125.97333333333334,100,41.5545892852131400,44.17813517806527140
117,125.84,129,117.6374201779249506,120.26096607077708200
154,125.8,128,115.0138742850728192,117.63742017792495060
172,125.63,94,25.8133139281003516,28.43685982095248300
-1,125.52,130,120.2609660707770820,122.88451196362921340
72,125.43857142857144,95,28.4368598209524830,31.06040571380461440
70,125.34557692307693,91,17.9426762495439574,20.56622214239608880
137,125.15333333333335,107,59.9194105351780598,62.54295642803019120
154,125.105,118,88.7784153565515052,91.40196124940363660
106,124.81666666666666,95,28.4368598209524830,31.06040571380461440
92,124.61500000000001,91,17.9426762495439574,20.56622214239608880
70,124.48111111111113,92,20.5662221423960888,23.18976803524822020
75,124.38,108,62.5429564280301912,65.16650232088232260
70,124.34,110,67.7900482137344540,70.41359410658658540
41,124.12571428571428,94,25.8133139281003516,28.43685982095248300
78,124.07,92,20.5662221423960888,23.18976803524822020
41,124.055,116,83.5313235708472424,86.15486946369937380
75,124.00999999999999,97,33.6839516066567458,36.30749749950887720
128,123.94,109,65.1665023208823226,67.79004821373445400
128,123.6,107,59.9194105351780598,62.54295642803019120
131,123.59661202185792,93,23.1897680352482202,25.81331392810035160
133,123.55,94,25.8133139281003516,28.43685982095248300
229,123.43999999999998,98,36.3074974995088772,38.93104339236100860
114,123.42,94,25.8133139281003516,28.43685982095248300
235,123.34,98,36.3074974995088772,38.93104339236100860
229,123.30125,96,31.0604057138046144,33.68395160665674580
70,122.62666666666667,103,49.4252269637695342,52.04877285662166560
17,122.57499999999999,95,28.4368598209524830,31.06040571380461440
-1,122.55,129,117.6374201779249506,120.26096607077708200
229,122.3,126,109.7667824993685564,112.39032839222068780
253,121.9,94,25.8133139281003516,28.43685982095248300
72,121.8,129,117.6374201779249506,120.26096607077708200
83,121.34,89,12.6955844638396946,15.31913035669182600
47,121.34,94,25.8133139281003516,28.43685982095248300
141,120.985,91,17.9426762495439574,20.56622214239608880
6,120.97,93,23.1897680352482202,25.81331392810035160
164,120.83399999999999,97,33.6839516066567458,36.30749749950887720
33,120.8,128,115.0138742850728192,117.63742017792495060
87,120.72166666666665,95,28.4368598209524830,31.06040571380461440
34,120.64,94,25.8133139281003516,28.43685982095248300
127,120.57,127,112.3903283922206878,115.01387428507281920
67,120.35,91,17.9426762495439574,20.56622214239608880
114,120.35,126,109.7667824993685564,112.39032839222068780
154,120.19999999999999,126,109.7667824993685564,112.39032839222068780
248,120.0,121,96.6490530351078994,99.27259892796003080
92,119.925,93,23.1897680352482202,25.81331392810035160
51,119.84,93,23.1897680352482202,25.81331392810035160
239,119.81,126,109.7667824993685564,112.39032839222068780
161,119.75,93,23.1897680352482202,25.81331392810035160
85,119.60499999999999,94,25.8133139281003516,28.43685982095248300
215,119.52,119,91.4019612494036366,94.02550714225576800
229,119.44999999999999,110,67.7900482137344540,70.41359410658658540
181,119.15,91,17.9426762495439574,20.56622214239608880
-1,119.10000000000001,128,115.0138742850728192,117.63742017792495060
103,118.8,114,78.2842317851429796,80.90777767799511100
41,118.72500000000001,102,46.8016810709174028,49.42522696376953420
-1,118.66199999999999,105,54.6723187494737970,57.29586464232592840
136,118.62333333333333,99,38.9310433923610086,41.55458928521314000
68,118.6,106,57.2958646423259284,59.91941053517805980
157,118.5,93,23.1897680352482202,25.81331392810035160
79,118.38,95,28.4368598209524830,31.06040571380461440
58,118.04499999999999,96,31.0604057138046144,33.68395160665674580
191,117.985,91,17.9426762495439574,20.56622214239608880
